       Q,      F(Q)_RMC,  F(Q)_Expt
      2.8849980 ,      -1.2222684 ,      -1.0449612
      2.8949980 ,      -0.8809546 ,      -0.7466942
      2.9049980 ,      -0.5311589 ,      -0.4443442
      2.9149980 ,      -0.1855128 ,      -0.1480451
      2.9249980 ,       0.1439829 ,       0.1327068
      2.9349980 ,       0.4463779 ,       0.3893357
      2.9449980 ,       0.7121249 ,       0.6144121
      2.9549980 ,       0.9333515 ,       0.8018206
      2.9649980 ,       1.1040519 ,       0.9468710
      2.9749980 ,       1.2201946 ,       1.0463559
      2.9849980 ,       1.2797517 ,       1.0985601
      2.9949980 ,       1.2826554 ,       1.1032278
      3.0049970 ,       1.2306984 ,       1.0615016
      3.0149970 ,       1.1273461 ,       0.9758038
      3.0249970 ,       0.9775643 ,       0.8497425
      3.0349970 ,       0.7875675 ,       0.6879611
      3.0449970 ,       0.5645632 ,       0.4959869
      3.0549970 ,       0.3164823 ,       0.2800664
      3.0649970 ,       0.0517047 ,       0.0469896
      3.0749970 ,      -0.2212117 ,      -0.1960953
      3.0849970 ,      -0.4937929 ,      -0.4418748
      3.0949970 ,      -0.7578979 ,      -0.6830709
      3.1049970 ,      -1.0059502 ,      -0.9126475
      3.1149970 ,      -1.2311485 ,      -1.1240180
      3.1249970 ,      -1.4276540 ,      -1.3112523
      3.1349970 ,      -1.5907506 ,      -1.4692750
      3.1449970 ,      -1.7169756 ,      -1.5940501
      3.1549970 ,      -1.8042167 ,      -1.6827423
      3.1649970 ,      -1.8517715 ,      -1.7338468
      3.1749970 ,      -1.8603674 ,      -1.7472786
      3.1849970 ,      -1.8321361 ,      -1.7244129
      3.1949970 ,      -1.7705420 ,      -1.6680689
      3.2049970 ,      -1.6802624 ,      -1.5824318
      3.2149970 ,      -1.5670184 ,      -1.4729106
      3.2249970 ,      -1.4373594 ,      -1.3459317
      3.2349970 ,      -1.2984044 ,      -1.2086726
      3.2449970 ,      -1.1575474 ,      -1.0687432
      3.2549970 ,      -1.0221350 ,      -0.9338272
      3.2649970 ,      -0.8991289 ,      -0.8112964
      3.2749970 ,      -0.7947651 ,      -0.7078186
      3.2849970 ,      -0.7142271 ,      -0.6289757
      3.2949970 ,      -0.6613482 ,      -0.5789158
      3.3049970 ,      -0.6383590 ,      -0.5600572
      3.3149970 ,      -0.6456964 ,      -0.5728652
      3.3249970 ,      -0.6818878 ,      -0.6157183
      3.3349970 ,      -0.7435212 ,      -0.6848759
      3.3449970 ,      -0.8253094 ,      -0.7745553
      3.3549970 ,      -0.9202510 ,      -0.8771224
      3.3649970 ,      -1.0198869 ,      -0.9833906
      3.3749970 ,      -1.1146453 ,      -1.0830185
      3.3849970 ,      -1.1942642 ,      -1.1649920
      3.3949970 ,      -1.2482731 ,      -1.2181686
      3.4049970 ,      -1.2665143 ,      -1.2318583
      3.4149970 ,      -1.2396797 ,      -1.1964128
      3.4249970 ,      -1.1598350 ,      -1.1037928
      3.4349970 ,      -1.0209064 ,      -0.9480808
      3.4449970 ,      -0.8191008 ,      -0.7259127
      3.4549970 ,      -0.5532369 ,      -0.4368003
      3.4649970 ,      -0.2249646 ,      -0.0833245
      3.4749970 ,       0.1611424 ,       0.3288164
      3.4849970 ,       0.5976317 ,       0.7909109
      3.4949970 ,       1.0743582 ,       1.2914904
      3.5049970 ,       1.5788079 ,       1.8167310
      3.5149970 ,       2.0965470 ,       2.3509835
      3.5249970 ,       2.6117811 ,       2.8774086
      3.5349970 ,       3.1079975 ,       3.3786896
      3.5449970 ,       3.5686639 ,       3.8377868
      3.5549970 ,       3.9779489 ,       4.2386989
      3.5649970 ,       4.3214303 ,       4.5671912
      3.5749970 ,       4.5867558 ,       4.8114559
      3.5849970 ,       4.7642235 ,       4.9626690
      3.5949970 ,       4.8472496 ,       5.0154158
      3.6049970 ,       4.8327022 ,       4.9679620
      3.6149970 ,       4.7210791 ,       4.8223548
      3.6249970 ,       4.5165210 ,       4.5843489
      3.6349970 ,       4.2266567 ,       4.2631595
      3.6449970 ,       3.8622869 ,       3.8710533
      3.6549970 ,       3.4369194 ,       3.4227981
      3.6649970 ,       2.9661796 ,       2.9349986
      3.6749970 ,       2.4671230 ,       2.4253497
      3.6849970 ,       1.9574836 ,       1.9118467
      3.6949970 ,       1.4548960 ,       1.4119901
      3.7049970 ,       0.9761278 ,       0.9420250
      3.7149970 ,       0.5363605 ,       0.5162521
      3.7249970 ,       0.1485548 ,       0.1464440
      3.7349970 ,      -0.1770706 ,      -0.1586062
      3.7449970 ,      -0.4334217 ,      -0.3933834
      3.7549970 ,      -0.6167556 ,      -0.5557837
      3.7649970 ,      -0.7267423 ,      -0.6470797
      3.7749970 ,      -0.7663614 ,      -0.6717223
      3.7849970 ,      -0.7416413 ,      -0.6369937
      3.7949970 ,      -0.6612576 ,      -0.5525322
      3.8049970 ,      -0.5360136 ,      -0.4297570
      3.8149970 ,      -0.3782316 ,      -0.2812247
      3.8249970 ,      -0.2010891 ,      -0.1199527
      3.8349970 ,      -0.0179335 ,       0.0412535
      3.8449970 ,       0.1583876 ,       0.1904367
      3.8549970 ,       0.3161465 ,       0.3170532
      3.8649970 ,       0.4452761 ,       0.4124420
      3.8749970 ,       0.5378050 ,       0.4701755
      3.8849970 ,       0.5881669 ,       0.4862776
      3.8949970 ,       0.5933735 ,       0.4593030
      3.9049970 ,       0.5530452 ,       0.3902783
      3.9149970 ,       0.4693032 ,       0.2825144
      3.9249970 ,       0.3465343 ,       0.1413049
      3.9349970 ,       0.1910446 ,      -0.0264683
      3.9449970 ,       0.0106260 ,      -0.2127964
      3.9549970 ,      -0.1859382 ,      -0.4090431
      3.9649970 ,      -0.3893989 ,      -0.6064542
      3.9749970 ,      -0.5905682 ,      -0.7966474
      3.9849970 ,      -0.7808184 ,      -0.9720551
      3.9949970 ,      -0.9525257 ,      -1.1262989
      4.0049970 ,      -1.0994375 ,      -1.2544766
      4.0149970 ,      -1.2169443 ,      -1.3533486
      4.0249970 ,      -1.3022451 ,      -1.4214193
      4.0349970 ,      -1.3544016 ,      -1.4589126
      4.0449980 ,      -1.3742834 ,      -1.4676460
      4.0549980 ,      -1.3644050 ,      -1.4508193
      4.0649980 ,      -1.3286914 ,      -1.4127351
      4.0749980 ,      -1.2721488 ,      -1.3584584
      4.0849990 ,      -1.2004945 ,      -1.2934488
      4.0949990 ,      -1.1197942 ,      -1.2232174
      4.1049990 ,      -1.0360240 ,      -1.1529343
      4.1149990 ,      -0.9547263 ,      -1.0871378
      4.1250000 ,      -0.8806668 ,      -1.0294611
      4.1350000 ,      -0.8175959 ,      -0.9824616
      4.1450000 ,      -0.7680106 ,      -0.9474690
      4.1550000 ,      -0.7330760 ,      -0.9245746
      4.1650000 ,      -0.7125954 ,      -0.9126696
      4.1750010 ,      -0.7050743 ,      -0.9095646
      4.1850010 ,      -0.7078634 ,      -0.9121725
      4.1950010 ,      -0.7173654 ,      -0.9167418
      4.2050010 ,      -0.7293011 ,      -0.9191266
      4.2150020 ,      -0.7390066 ,      -0.9150710
      4.2250020 ,      -0.7417442 ,      -0.9004963
      4.2350020 ,      -0.7330196 ,      -0.8717664
      4.2450020 ,      -0.7088671 ,      -0.8259218
      4.2550020 ,      -0.6661023 ,      -0.7608678
      4.2650030 ,      -0.6025146 ,      -0.6754965
      4.2750030 ,      -0.5170323 ,      -0.5697937
      4.2850030 ,      -0.4097551 ,      -0.4447947
      4.2950030 ,      -0.2819763 ,      -0.3025621
      4.3050040 ,      -0.1360941 ,      -0.1460510
      4.3150040 ,       0.0244577 ,       0.0209846
      4.3250040 ,       0.1954799 ,       0.1942809
      4.3350040 ,       0.3721731 ,       0.3692214
      4.3450050 ,       0.5494167 ,       0.5410971
      4.3550050 ,       0.7219566 ,       0.7052637
      4.3650050 ,       0.8847670 ,       0.8574556
      4.3750050 ,       1.0332150 ,       0.9938994
      4.3850050 ,       1.1632838 ,       1.1114785
      4.3950060 ,       1.2717475 ,       1.2078479
      4.4050060 ,       1.3562453 ,       1.2814573
      4.4150060 ,       1.4154119 ,       1.3316243
      4.4250060 ,       1.4488419 ,       1.3584633
      4.4350070 ,       1.4570616 ,       1.3628273
      4.4450070 ,       1.4414423 ,       1.3462075
      4.4550070 ,       1.4040805 ,       1.3106097
      4.4650070 ,       1.3476391 ,       1.2584104
      4.4750080 ,       1.2751694 ,       1.1922044
      4.4850080 ,       1.1899625 ,       1.1146892
      4.4950080 ,       1.0953285 ,       1.0284923
      4.5050080 ,       0.9944613 ,       0.9360832
      4.5150080 ,       0.8902897 ,       0.8396757
      4.5250090 ,       0.7853537 ,       0.7411536
      4.5350090 ,       0.6817648 ,       0.6420732
      4.5450090 ,       0.5810962 ,       0.5435941
      4.5550090 ,       0.4844139 ,       0.4465330
      4.5650100 ,       0.3922770 ,       0.3513804
      4.5750100 ,       0.3048242 ,       0.2583901
      4.5850100 ,       0.2217900 ,       0.1675844
      4.5950100 ,       0.1426310 ,       0.0788601
      4.6050110 ,       0.0666067 ,      -0.0079632
      4.6150110 ,      -0.0070903 ,      -0.0930468
      4.6250110 ,      -0.0792841 ,      -0.1765328
      4.6350110 ,      -0.1507003 ,      -0.2584697
      4.6450110 ,      -0.2219032 ,      -0.3387953
      4.6550120 ,      -0.2932524 ,      -0.4173337
      4.6650120 ,      -0.3648431 ,      -0.4937670
      4.6750120 ,      -0.4365395 ,      -0.5676975
      4.6850120 ,      -0.5079564 ,      -0.6386415
      4.6950130 ,      -0.5785018 ,      -0.7060749
      4.7050130 ,      -0.6473912 ,      -0.7694422
      4.7150130 ,      -0.7137430 ,      -0.8282327
      4.7250130 ,      -0.7766103 ,      -0.8819851
      4.7350130 ,      -0.8350493 ,      -0.9303224
      4.7450140 ,      -0.8881837 ,      -0.9729763
      4.7550140 ,      -0.9352372 ,      -1.0097835
      4.7650140 ,      -0.9756109 ,      -1.0407154
      4.7750140 ,      -1.0088948 ,      -1.0658575
      4.7850150 ,      -1.0348973 ,      -1.0854060
      4.7950150 ,      -1.0536449 ,      -1.0996458
      4.8050150 ,      -1.0653947 ,      -1.1089446
      4.8150150 ,      -1.0706091 ,      -1.1137259
      4.8250160 ,      -1.0699354 ,      -1.1144532
      4.8350160 ,      -1.0641758 ,      -1.1116139
      4.8450160 ,      -1.0542509 ,      -1.1057075
      4.8550160 ,      -1.0411602 ,      -1.0972355
      4.8650160 ,      -1.0259422 ,      -1.0866960
