r (Ang), PDF (RMC), PDF (Expt)
  0.82000000000000006       ,  -0.16751451210341706       ,  -0.13484599999999999     
  0.83999999999999997       ,  -0.17160023191081747       ,  -0.13867199999999999     
  0.85999999999999999       ,  -0.17568595171821785       ,  -0.14210100000000001     
  0.88000000000000000       ,  -0.17977167152561829       ,  -0.14502999999999999     
  0.90000000000000002       ,  -0.18385739133301870       ,  -0.14773300000000000     
  0.92000000000000004       ,  -0.18794311114041914       ,  -0.15067300000000000     
  0.94000000000000006       ,  -0.19202883094781953       ,  -0.15415899999999999     
  0.95999999999999996       ,  -0.19611455075521994       ,  -0.15810600000000000     
  0.97999999999999998       ,  -0.20020027056262032       ,  -0.16206599999999999     
   1.0000000000000000       ,  -0.20428599037002079       ,  -0.16556000000000001     
   1.0200000000000000       ,  -0.20837171017742120       ,  -0.16843000000000000     
   1.0400000000000000       ,  -0.21245742998482162       ,  -0.17099100000000000     
   1.0600000000000001       ,  -0.21654314979222203       ,  -0.17380699999999999     
   1.0800000000000001       ,  -0.22062886959962244       ,  -0.17728600000000000     
   1.1000000000000001       ,  -0.22471458940702288       ,  -0.18135100000000001     
   1.1200000000000001       ,  -0.22880030921442329       ,  -0.18547300000000000     
   1.1400000000000001       ,  -0.23288602902182373       ,  -0.18904899999999999     
   1.1599999999999999       ,  -0.23697174882922412       ,  -0.19185700000000000     
   1.1799999999999999       ,  -0.24105746863662450       ,  -0.19424900000000000     
   1.2000000000000000       ,  -0.24514318844402491       ,  -0.19691500000000001     
   1.2200000000000000       ,  -0.24922890825142535       ,  -0.20037500000000000     
   1.2400000000000000       ,  -0.25331462805882576       ,  -0.20457700000000001     
   1.2600000000000000       ,  -0.25740034786622618       ,  -0.20889500000000000     
   1.2800000000000000       ,  -0.26148606767362664       ,  -0.21257899999999999     
   1.3000000000000000       ,  -0.26557178748102700       ,  -0.21532000000000001     
   1.3200000000000001       ,  -0.26965750728842741       ,  -0.21751000000000001     
   1.3400000000000001       ,  -0.27374322709582788       ,  -0.21998400000000001     
   1.3600000000000001       ,  -0.27782894690322829       ,  -0.22340900000000000     
   1.3800000000000001       ,  -0.28191466671062870       ,  -0.22776500000000000     
   1.4000000000000001       ,  -0.28600038651802911       ,  -0.23232200000000000     
   1.4199999999999999       ,  -0.29008610632542947       ,  -0.23615800000000001     
   1.4399999999999999       ,  -0.29417182613282988       ,  -0.23884900000000001     
   1.4600000000000000       ,  -0.36018973322141457       ,  -0.24081700000000000     
   1.4800000000000000       ,  -0.35752610966317594       ,  -0.24304700000000001     
   1.5000000000000000       ,  -0.36282061925922326       ,  -0.24636300000000000     
   1.5200000000000000       ,  -0.37000227303051375       ,  -0.25081300000000001     
   1.5400000000000000       ,  -0.36321393942759989       ,  -0.25561299999999998     
   1.5600000000000001       ,  -0.36480667501842973       ,  -0.25973900000000000     
   1.5800000000000001       ,  -0.36461643810429734       ,  -0.26267400000000002     
   1.6000000000000001       ,  -0.38094017514472189       ,  -0.26471099999999997     
   1.6200000000000001       ,  -0.37115453730050441       ,  -0.26652300000000001     
   1.6400000000000001       ,  -0.38364261924916165       ,  -0.26836599999999999     
   1.6600000000000001       ,  -0.38714264734850423       ,  -0.26965699999999998     
   1.6799999999999999       ,  -0.38602675109410928       ,  -0.26953800000000000     
   1.7000000000000000       ,  -0.36924266863323607       ,  -0.26824399999999998     
   1.7200000000000000       ,  -0.37063693902626044       ,  -0.26833000000000001     
   1.7400000000000000       ,  -0.37970326134941984       ,  -0.27454800000000001     
   1.7600000000000000       ,  -0.39322727390793372       ,  -0.29182700000000000     
   1.7800000000000000       ,  -0.39619977225457026       ,  -0.32210000000000000     
   1.8000000000000000       ,  -0.40298766100699113       ,  -0.36172399999999999     
   1.8200000000000001       ,  -0.40579225297128163       ,  -0.40133400000000002     
