r (Ang), PDF (RMC), PDF (Expt)
   2.0600000000000001       ,   0.42856329837663737       ,   -7.0669000000000001E-003
   2.0800000000000001       ,   0.35262142681312997       ,   -4.9971900000000003E-003
   2.1000000000000001       ,   0.26412437198729483       ,   -7.1440799999999997E-003
   2.1200000000000001       ,   0.15853457138133231       ,   -1.2754400000000001E-002
   2.1400000000000001       ,    5.1484903131680040E-002  ,   -2.2612699999999999E-002
   2.1600000000000001       ,   -5.7367329791760117E-002  ,   -3.7842599999999997E-002
   2.1800000000000002       ,   -9.9499143970767520E-002  ,   -5.8612200000000003E-002
   2.2000000000000002       ,  -0.14338511349496910       ,   -8.3557900000000004E-002
   2.2200000000000002       ,  -0.14899570806460730       ,  -0.11011300000000000     
   2.2400000000000002       ,  -0.18320514682860820       ,  -0.13517799999999999     
   2.2600000000000002       ,  -0.20225126294872847       ,  -0.15543199999999999     
   2.2800000000000002       ,  -0.20069245946970882       ,  -0.16714799999999999     
   2.3000000000000003       ,  -0.19681754888689731       ,  -0.16601399999999999     
   2.3199999999999998       ,  -0.16747896356830483       ,  -0.14780799999999999     
   2.3399999999999999       ,  -0.14399289944488342       ,  -0.11019100000000000     
   2.3599999999999999       ,   -7.9552116778223714E-002  ,   -5.4844200000000003E-002
   2.3799999999999999       ,   -2.7885252043979594E-002  ,    1.1509600000000000E-002
   2.3999999999999999       ,    4.0022379149818245E-002  ,    7.8470700000000004E-002
   2.4199999999999999       ,   0.11678068582755016       ,   0.13557600000000000     
   2.4399999999999999       ,   0.15918175966440262       ,   0.17654300000000001     
   2.4600000000000000       ,   0.18120872965490931       ,   0.20172399999999999     
   2.4800000000000000       ,   0.18944198829116088       ,   0.21722500000000000     
   2.5000000000000000       ,   0.19791663216219005       ,   0.23098800000000000     
   2.5200000000000000       ,   0.22414525259119314       ,   0.24809700000000001     
   2.5400000000000000       ,   0.26672463746262148       ,   0.26812200000000003     
   2.5600000000000001       ,   0.25545242824488423       ,   0.28603800000000001     
   2.5800000000000001       ,   0.30497620972482620       ,   0.29599700000000001     
   2.6000000000000001       ,   0.29906693498437953       ,   0.29537000000000002     
   2.6200000000000001       ,   0.29886773303634667       ,   0.28630600000000000     
   2.6400000000000001       ,   0.29370637175299491       ,   0.27385599999999999     
   2.6600000000000001       ,   0.27765112307094775       ,   0.26210699999999998     
   2.6800000000000002       ,   0.26210011659951854       ,   0.25120599999999998     
   2.7000000000000002       ,   0.25534915824876514       ,   0.23759000000000000     
   2.7200000000000002       ,   0.25332032192717718       ,   0.21740799999999999     
   2.7400000000000002       ,   0.22798553348240608       ,   0.19071299999999999     
   2.7600000000000002       ,   0.17335967117705847       ,   0.16320399999999999     
   2.7800000000000002       ,   0.18658463885067444       ,   0.14384300000000000     
